"ip_addr","num_sites_visited","num_ad_viewed","ad_viewed_rate"
"1","72.152.54.129",4,231,0.978813559322034
"2","96.240.94.116",3,162,0.981818181818182
"3","108.55.72.57",1,58,0.966666666666667
"4","94.120.36.250",2,57,0.982758620689655
"5","108.91.26.238",6,53,0.963636363636364
"6","65.27.81.6",8,46,0.978723404255319
"7","108.78.18.121",1,44,1
"8","50.28.165.74",2,33,1
"9","71.196.74.84",8,31,0.96875
"10","108.23.218.10",3,26,1
"11","50.47.125.192",3,25,1
"12","14.162.154.199",1,24,1
"13","60.153.90.179",2,23,1
"14","111.37.21.157",1,22,1
"15","174.57.61.232",2,21,1
"16","24.59.104.235",1,20,1
"17","113.210.163.180",1,19,1
"18","85.104.219.92",2,19,1
"19","201.240.250.37",1,17,1
"20","24.239.95.230",1,17,1
"21","98.94.211.207",5,17,1
"22","108.252.175.41",4,15,1
"23","71.75.146.87",2,15,1
"24","75.156.177.95",2,15,1
"25","85.107.103.26",1,15,1
"26","190.248.173.55",2,14,1
"27","24.42.148.19",1,14,1
"28","76.27.203.210",5,14,1
"29","67.11.14.208",1,13,1
"30","191.103.172.197",1,12,1
"31","24.159.78.112",2,12,1
"32","67.86.133.47",3,12,1
"33","96.39.240.16",4,12,1
"34","72.18.39.114",3,11,1
"35","221.125.116.205",1,10,1
"36","24.162.137.41",1,10,1
"37","24.92.30.240",1,10,1
"38","31.164.56.95",1,10,1
"39","63.229.114.165",3,10,1
"40","96.2.148.189",1,10,1
"41","97.127.17.159",1,10,1
"42","113.179.91.106",1,9,1
"43","147.106.9.74",3,9,1
"44","173.72.1.206",3,9,1
"45","176.124.227.23",1,9,1
"46","189.13.154.51",1,9,1
"47","24.100.248.12",3,9,1
"48","24.203.35.139",1,9,1
"49","67.252.115.138",1,9,1
"50","71.116.29.169",4,9,1
"51","71.118.49.29",2,9,1
"52","108.170.167.7",4,8,1
"53","172.6.84.107",6,8,1
"54","193.107.229.63",1,8,1
"55","24.116.65.121",4,8,1
"56","27.155.102.108",1,8,1
"57","50.151.188.193",1,8,1
"58","67.1.31.144",2,8,1
"59","68.83.219.20",1,8,1
"60","71.218.170.182",2,8,1
"61","71.229.67.215",2,8,1
"62","75.118.27.180",3,8,1
"63","76.16.76.32",3,8,1
"64","96.36.132.35",5,8,1
"65","98.220.16.162",1,8,1
"66","98.237.60.28",2,8,1
"67","99.183.193.135",4,8,1
"68","100.2.71.86",1,7,1
"69","107.203.228.101",4,7,1
"70","17.197.23.224",1,7,1
"71","173.28.176.143",1,7,1
"72","184.174.174.153",4,7,1
"73","190.251.22.141",1,7,1
"74","24.101.202.41",2,7,1
"75","24.59.89.116",2,7,1
"76","49.230.122.149",2,7,1
"77","66.57.22.57",6,7,1
"78","69.207.184.23",3,7,1
"79","69.66.122.176",4,7,1
"80","71.238.199.125",2,7,1
"81","76.4.144.251",2,7,1
"82","99.70.248.29",4,7,1
"83","108.181.21.192",4,6,1
"84","110.20.54.172",1,6,1
"85","128.82.36.2",1,6,1
"86","144.30.68.123",5,6,1
"87","173.57.131.109",4,6,1
"88","174.22.231.99",4,6,1
"89","182.69.80.163",1,6,1
"90","189.39.41.244",2,6,1
"91","199.86.16.129",1,6,1
"92","207.206.236.175",4,6,1
"93","24.137.78.94",1,6,1
"94","24.57.185.5",3,6,1
"95","24.9.178.112",5,6,1
"96","32.210.94.107",3,6,1
"97","50.172.217.213",2,6,1
"98","50.241.223.113",4,6,1
"99","60.37.150.91",1,6,1
"100","65.24.171.56",2,6,1
"101","67.177.205.52",2,6,1
"102","67.241.48.79",1,6,1
"103","67.85.14.167",1,6,1
"104","68.50.214.21",3,6,1
"105","70.27.186.197",2,6,1
"106","71.211.3.222",2,6,1
"107","72.181.137.142",2,6,1
"108","75.23.241.79",1,6,1
"109","76.5.145.228",2,6,1
"110","99.248.173.238",1,6,1
"111","108.212.110.55",1,5,1
"112","108.71.222.181",2,5,1
"113","112.203.211.85",2,5,1
"114","113.186.41.227",1,5,1
"115","125.199.155.115",4,5,1
"116","137.238.85.49",2,5,1
"117","148.100.230.61",1,5,1
"118","154.107.214.202",1,5,1
"119","162.232.176.17",2,5,1
"120","174.64.102.165",1,5,1
"121","24.155.251.60",3,5,1
"122","24.96.143.68",3,5,1
"123","42.117.136.219",1,5,1
"124","65.78.183.160",1,5,1
"125","67.165.79.246",2,5,1
"126","68.186.114.101",1,5,1
"127","68.60.101.211",2,5,1
"128","71.48.213.171",1,5,1
"129","71.60.30.72",2,5,1
"130","74.92.198.178",3,5,1
"131","75.97.35.181",3,5,1
"132","76.112.79.118",1,5,1
"133","78.132.228.46",2,5,1
"134","84.226.79.57",1,5,1
"135","96.49.192.164",1,5,1
"136","98.110.37.6",1,5,1
"137","98.199.42.16",3,5,1
"138","98.252.163.220",1,5,1
"139","99.109.171.116",1,5,1
"140","99.121.228.33",4,5,1
"141","99.241.82.12",2,5,1
"142","99.52.125.157",3,5,1
"143","107.202.213.213",2,4,1
"144","108.223.182.76",2,4,1
"145","116.240.172.210",1,4,1
"146","122.57.238.5",3,4,1
"147","123.21.200.173",1,4,1
"148","123.26.153.175",1,4,1
"149","124.244.146.127",1,4,1
"150","129.68.29.197",3,4,1
"151","132.235.71.91",3,4,1
"152","138.202.208.79",1,4,1
"153","152.30.223.36",1,4,1
"154","162.248.136.204",1,4,1
"155","171.226.11.57",1,4,1
"156","173.185.72.164",2,4,1
"157","173.238.96.165",1,4,1
"158","173.25.44.249",2,4,1
"159","173.27.228.3",2,4,1
"160","175.139.10.183",3,4,1
"161","175.143.65.58",3,4,1
"162","175.156.128.204",1,4,1
"163","178.38.104.183",2,4,1
"164","182.178.243.16",3,4,1
"165","182.53.70.63",1,4,1
"166","184.166.72.169",2,4,1
"167","186.58.44.14",4,4,1
"168","188.182.111.1",2,4,1
"169","189.29.171.207",1,4,1
"170","189.48.123.176",1,4,1
"171","198.251.60.197",1,4,1
"172","206.174.52.73",2,4,1
"173","208.38.253.18",1,4,1
"174","212.147.58.107",1,4,1
"175","223.18.76.142",1,4,1
"176","24.138.157.74",1,4,1
"177","24.139.96.235",1,4,1
"178","24.190.101.41",1,4,1
"179","24.21.31.229",1,4,1
"180","24.9.85.79",3,4,1
"181","32.216.241.86",2,4,1
"182","46.70.140.84",1,4,1
"183","50.155.135.29",1,4,1
"184","50.157.141.252",2,4,1
"185","50.184.46.186",3,4,1
"186","50.196.23.117",2,4,1
"187","58.10.197.223",2,4,1
"188","60.241.63.201",1,4,1
"189","66.56.1.181",3,4,1
"190","67.166.165.161",2,4,1
"191","67.185.14.15",1,4,1
"192","67.236.48.170",2,4,1
"193","68.13.216.77",2,4,1
"194","69.115.99.169",3,4,1
"195","69.244.133.30",2,4,1
"196","69.251.114.22",2,4,1
"197","69.55.122.97",2,4,1
"198","69.76.194.241",1,4,1
"199","70.71.190.165",1,4,1
"200","71.101.44.144",2,4,1
"201","71.198.125.96",1,4,1
"202","71.255.163.172",3,4,1
"203","72.146.37.214",3,4,1
"204","72.188.129.51",3,4,1
"205","72.253.15.111",3,4,1
"206","74.199.31.208",1,4,1
"207","74.69.39.106",2,4,1
"208","75.159.82.10",3,4,1
"209","75.72.16.48",2,4,1
"210","76.103.245.226",1,4,1
"211","76.182.158.149",2,4,1
"212","76.25.61.2",1,4,1
"213","85.26.233.66",1,4,1
"214","88.249.254.11",1,4,1
"215","92.107.203.56",1,4,1
"216","96.225.27.80",1,4,1
"217","96.225.78.33",3,4,1
"218","96.58.101.211",1,4,1
"219","97.106.71.234",3,4,1
"220","97.122.246.89",3,4,1
"221","98.125.30.137",3,4,1
"222","98.143.1.168",2,4,1
"223","98.159.28.169",2,4,1
"224","98.166.37.143",2,4,1
"225","99.252.159.108",2,4,1
"226","100.42.153.76",2,3,1
"227","107.133.47.66",2,3,1
"228","108.49.42.211",2,3,1
"229","108.66.45.79",2,3,1
"230","108.67.193.119",2,3,1
"231","110.77.208.239",2,3,1
"232","121.223.2.99",1,3,1
"233","124.106.43.58",2,3,1
"234","14.163.98.134",1,3,1
"235","142.105.20.141",3,3,1
"236","142.105.49.206",2,3,1
"237","153.196.201.58",1,3,1
"238","165.123.215.153",1,3,1
"239","167.197.188.36",1,3,1
"240","167.248.18.22",1,3,1
"241","172.15.217.24",1,3,1
"242","173.217.238.122",1,3,1
"243","173.49.138.133",2,3,1
"244","173.54.47.115",1,3,1
"245","173.66.209.237",3,3,1
"246","180.174.115.221",1,3,1
"247","184.189.71.225",2,3,1
"248","189.172.124.18",2,3,1
"249","189.191.76.51",1,3,1
"250","190.249.8.16",1,3,1
"251","198.210.126.58",2,3,1
"252","207.171.201.130",2,3,1
"253","207.96.186.75",2,3,1
"254","208.163.225.82",2,3,1
"255","212.25.11.51",3,3,1
"256","213.213.188.115",2,3,1
"257","217.162.112.20",2,3,1
"258","218.250.158.138",1,3,1
"259","23.242.130.60",2,3,1
"260","24.10.118.250",2,3,1
"261","24.113.204.29",1,3,1
"262","24.150.133.246",2,3,1
"263","24.156.199.149",1,3,1
"264","24.157.231.27",2,3,1
"265","24.189.174.228",1,3,1
"266","24.202.227.182",1,3,1
"267","24.49.214.61",1,3,1
"268","24.96.123.152",1,3,1
"269","32.208.92.117",1,3,1
"270","32.215.161.95",1,3,1
"271","41.249.108.135",1,3,1
"272","42.118.88.56",1,3,1
"273","50.102.71.2",1,3,1
"274","50.165.163.236",2,3,1
"275","50.191.43.210",2,3,1
"276","50.96.245.102",3,3,1
"277","66.151.51.222",3,3,1
"278","66.153.146.206",2,3,1
"279","66.168.72.148",1,3,1
"280","67.166.137.204",1,3,1
"281","67.173.215.138",1,3,1
"282","67.177.147.149",1,3,1
"283","67.189.76.168",1,3,1
"284","67.193.211.154",2,3,1
"285","67.87.157.22",1,3,1
"286","68.109.91.116",3,3,1
"287","68.12.72.111",1,3,1
"288","68.181.0.177",3,3,1
"289","68.45.98.85",3,3,1
"290","69.125.37.51",2,3,1
"291","69.253.29.244",1,3,1
"292","70.28.18.153",1,3,1
"293","71.199.29.78",1,3,1
"294","71.211.76.158",3,3,1
"295","71.214.197.102",1,3,1
"296","71.222.228.94",2,3,1
"297","71.231.63.179",3,3,1
"298","71.233.142.69",2,3,1
"299","71.90.169.242",3,3,1
"300","71.96.46.110",2,3,1
"301","72.191.146.109",1,3,1
"302","72.225.129.164",2,3,1
"303","72.235.206.230",2,3,1
"304","72.74.159.148",2,3,1
"305","72.78.254.128",1,3,1
"306","73.163.137.46",3,3,1
"307","73.163.39.99",2,3,1
"308","73.179.243.26",1,3,1
"309","73.38.220.39",3,3,1
"310","73.52.95.109",2,3,1
"311","74.193.85.89",2,3,1
"312","75.1.132.126",1,3,1
"313","75.131.45.58",2,3,1
"314","75.16.176.202",3,3,1
"315","75.170.204.129",1,3,1
"316","75.18.49.32",3,3,1
"317","75.245.55.170",1,3,1
"318","75.69.57.235",2,3,1
"319","76.113.69.52",2,3,1
"320","76.116.7.3",2,3,1
"321","76.169.146.230",1,3,1
"322","76.180.126.1",2,3,1
"323","76.18.147.10",1,3,1
"324","76.217.172.55",1,3,1
"325","76.99.152.180",1,3,1
"326","77.106.119.240",2,3,1
"327","94.180.190.231",2,3,1
"328","96.242.146.118",1,3,1
"329","96.253.107.233",2,3,1
"330","96.39.243.126",1,3,1
"331","96.40.197.18",1,3,1
"332","98.118.128.237",2,3,1
"333","98.150.157.230",2,3,1
"334","98.162.246.98",2,3,1
"335","98.197.125.129",1,3,1
